{size},{size},module,Magento_Catalog
"{width}^{height} px","{width}^{height} px",module,Magento_Catalog
"Allow Multiple Boxes for Shipping","Allow Multiple Boxes for Shipping",module,Magento_Catalog
"start typing to search attribute","start typing to search attribute",module,Magento_Catalog
"Check items to add to the cart or","Check items to add to the cart or",module,Magento_Catalog
"We don't recognize or support this file extension type.","We don't recognize or support this file extension type.",module,Magento_Catalog
"Configure Product","Configure Product",module,Magento_Catalog
OK,OK,module,Magento_Catalog
"This value does not follow the specified format (for example, 200X300).","This value does not follow the specified format (for example, 200X300).",module,Magento_Catalog
"Select type of option.","Select type of option.",module,Magento_Catalog
"Please add rows to option.","Please add rows to option.",module,Magento_Catalog
"Image Detail","Image Detail",module,Magento_Catalog
Adding...,Adding...,module,Magento_Catalog
Inventory,Inventory,module,Magento_Catalog
"Catalog Section","Catalog Section",module,Magento_Catalog
"Product Fields Auto-Generation","Product Fields Auto-Generation",module,Magento_Catalog
"Use {{name}} as Product Name placeholder","Use {{name}} as Product Name placeholder",module,Magento_Catalog
"Mask for Meta Title","Mask for Meta Title",module,Magento_Catalog
"Mask for Meta Keywords","Mask for Meta Keywords",module,Magento_Catalog
"Mask for Meta Description","Mask for Meta Description",module,Magento_Catalog
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Use {{name}} and {{description}} as Product Name and Product Description placeholders",module,Magento_Catalog
"List Mode","List Mode",module,Magento_Catalog
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values",module,Magento_Catalog
"Products per Page on Grid Default Value","Products per Page on Grid Default Value",module,Magento_Catalog
"Must be in the allowed values list","Must be in the allowed values list",module,Magento_Catalog
"Products per Page on List Allowed Values","Products per Page on List Allowed Values",module,Magento_Catalog
"Products per Page on List Default Value","Products per Page on List Default Value",module,Magento_Catalog
"Use Flat Catalog Category","Use Flat Catalog Category",module,Magento_Catalog
"Use Flat Catalog Product","Use Flat Catalog Product",module,Magento_Catalog
